pr_number	title	one_line_prompt
019	IMPORT-ANALYTICS-AND-SCORING-FROM-MAIN-ENGINE	Execute only PR-019: IMPORT-ANALYTICS-AND-SCORING-FROM-MAIN-ENGINE. Do not start the next PR. Return a new zip only.
020	IMPORT-COLLECTORS-WALLETS-AND-SCHEMAS	Execute only PR-020: IMPORT-COLLECTORS-WALLETS-AND-SCHEMAS. Do not start the next PR. Return a new zip only.
021	TRADE-FEATURES-V1-WITH-UV-AND-SNAPSHOT-JOINS	Execute only PR-021: TRADE-FEATURES-V1-WITH-UV-AND-SNAPSHOT-JOINS. Do not start the next PR. Return a new zip only.
022	TRAINING-DATASET-EXPORT-MANIFESTS-AND-COVERAGE	Execute only PR-022: TRAINING-DATASET-EXPORT-MANIFESTS-AND-COVERAGE. Do not start the next PR. Return a new zip only.
023	MODEL-OFF-INTERFACE-AND-SHADOW-INFERENCE	Execute only PR-023: MODEL-OFF-INTERFACE-AND-SHADOW-INFERENCE. Do not start the next PR. Return a new zip only.
024	EVIDENCE-BUNDLES-TRACE-REPORTS-AND-INVESTIGATION	Execute only PR-024: EVIDENCE-BUNDLES-TRACE-REPORTS-AND-INVESTIGATION. Do not start the next PR. Return a new zip only.
025	SUGGESTION-ENGINE-AND-SETTING-TUNING-LOOP	Execute only PR-025: SUGGESTION-ENGINE-AND-SETTING-TUNING-LOOP. Do not start the next PR. Return a new zip only.
026	CANARY-REPLAY-DOCTOR-AND-ONE-BUTTON-SMOKE	Execute only PR-026: CANARY-REPLAY-DOCTOR-AND-ONE-BUTTON-SMOKE. Do not start the next PR. Return a new zip only.
027	ZIPWIZ-SIDECAR-INTEGRATION-OPERATOR-COCKPIT	Execute only PR-027: ZIPWIZ-SIDECAR-INTEGRATION-OPERATOR-COCKPIT. Do not start the next PR. Return a new zip only.
028	CODEX-HANDOFF-ZIP-BUILDER-AND-NEXT-PR-PACK	Execute only PR-028: CODEX-HANDOFF-ZIP-BUILDER-AND-NEXT-PR-PACK. Do not start the next PR. Return a new zip only.
029	REPLAY-DEEPENING-029	Execute only PR-029: REPLAY-DEEPENING-029. Do not start the next PR. Return a new zip only.
030	REPLAY-DEEPENING-030	Execute only PR-030: REPLAY-DEEPENING-030. Do not start the next PR. Return a new zip only.
031	REPLAY-DEEPENING-031	Execute only PR-031: REPLAY-DEEPENING-031. Do not start the next PR. Return a new zip only.
032	REPLAY-DEEPENING-032	Execute only PR-032: REPLAY-DEEPENING-032. Do not start the next PR. Return a new zip only.
033	REPLAY-DEEPENING-033	Execute only PR-033: REPLAY-DEEPENING-033. Do not start the next PR. Return a new zip only.
034	REPLAY-DEEPENING-034	Execute only PR-034: REPLAY-DEEPENING-034. Do not start the next PR. Return a new zip only.
035	REPLAY-DEEPENING-035	Execute only PR-035: REPLAY-DEEPENING-035. Do not start the next PR. Return a new zip only.
036	REPLAY-DEEPENING-036	Execute only PR-036: REPLAY-DEEPENING-036. Do not start the next PR. Return a new zip only.
037	REPLAY-DEEPENING-037	Execute only PR-037: REPLAY-DEEPENING-037. Do not start the next PR. Return a new zip only.
038	REPLAY-DEEPENING-038	Execute only PR-038: REPLAY-DEEPENING-038. Do not start the next PR. Return a new zip only.
039	REPLAY-DEEPENING-039	Execute only PR-039: REPLAY-DEEPENING-039. Do not start the next PR. Return a new zip only.
040	REPLAY-DEEPENING-040	Execute only PR-040: REPLAY-DEEPENING-040. Do not start the next PR. Return a new zip only.
041	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-041	Execute only PR-041: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-041. Do not start the next PR. Return a new zip only.
042	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-042	Execute only PR-042: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-042. Do not start the next PR. Return a new zip only.
043	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-043	Execute only PR-043: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-043. Do not start the next PR. Return a new zip only.
044	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-044	Execute only PR-044: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-044. Do not start the next PR. Return a new zip only.
045	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-045	Execute only PR-045: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-045. Do not start the next PR. Return a new zip only.
046	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-046	Execute only PR-046: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-046. Do not start the next PR. Return a new zip only.
047	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-047	Execute only PR-047: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-047. Do not start the next PR. Return a new zip only.
048	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-048	Execute only PR-048: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-048. Do not start the next PR. Return a new zip only.
049	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-049	Execute only PR-049: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-049. Do not start the next PR. Return a new zip only.
050	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-050	Execute only PR-050: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-050. Do not start the next PR. Return a new zip only.
051	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-051	Execute only PR-051: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-051. Do not start the next PR. Return a new zip only.
052	RUNTIME-SHADOW-AND-PROMOTION-HARDENING-052	Execute only PR-052: RUNTIME-SHADOW-AND-PROMOTION-HARDENING-052. Do not start the next PR. Return a new zip only.
053	WALLET-INTEL-GRAPH-LINKAGE-053	Execute only PR-053: WALLET-INTEL-GRAPH-LINKAGE-053. Do not start the next PR. Return a new zip only.
054	WALLET-INTEL-GRAPH-LINKAGE-054	Execute only PR-054: WALLET-INTEL-GRAPH-LINKAGE-054. Do not start the next PR. Return a new zip only.
055	WALLET-INTEL-GRAPH-LINKAGE-055	Execute only PR-055: WALLET-INTEL-GRAPH-LINKAGE-055. Do not start the next PR. Return a new zip only.
056	WALLET-INTEL-GRAPH-LINKAGE-056	Execute only PR-056: WALLET-INTEL-GRAPH-LINKAGE-056. Do not start the next PR. Return a new zip only.
057	WALLET-INTEL-GRAPH-LINKAGE-057	Execute only PR-057: WALLET-INTEL-GRAPH-LINKAGE-057. Do not start the next PR. Return a new zip only.
058	WALLET-INTEL-GRAPH-LINKAGE-058	Execute only PR-058: WALLET-INTEL-GRAPH-LINKAGE-058. Do not start the next PR. Return a new zip only.
059	WALLET-INTEL-GRAPH-LINKAGE-059	Execute only PR-059: WALLET-INTEL-GRAPH-LINKAGE-059. Do not start the next PR. Return a new zip only.
060	WALLET-INTEL-GRAPH-LINKAGE-060	Execute only PR-060: WALLET-INTEL-GRAPH-LINKAGE-060. Do not start the next PR. Return a new zip only.
061	WALLET-INTEL-GRAPH-LINKAGE-061	Execute only PR-061: WALLET-INTEL-GRAPH-LINKAGE-061. Do not start the next PR. Return a new zip only.
062	WALLET-INTEL-GRAPH-LINKAGE-062	Execute only PR-062: WALLET-INTEL-GRAPH-LINKAGE-062. Do not start the next PR. Return a new zip only.
063	WALLET-INTEL-GRAPH-LINKAGE-063	Execute only PR-063: WALLET-INTEL-GRAPH-LINKAGE-063. Do not start the next PR. Return a new zip only.
064	WALLET-INTEL-GRAPH-LINKAGE-064	Execute only PR-064: WALLET-INTEL-GRAPH-LINKAGE-064. Do not start the next PR. Return a new zip only.
065	DATA-PLANE-COLLECTORS-AND-TX-LAKE-065	Execute only PR-065: DATA-PLANE-COLLECTORS-AND-TX-LAKE-065. Do not start the next PR. Return a new zip only.
066	DATA-PLANE-COLLECTORS-AND-TX-LAKE-066	Execute only PR-066: DATA-PLANE-COLLECTORS-AND-TX-LAKE-066. Do not start the next PR. Return a new zip only.
067	DATA-PLANE-COLLECTORS-AND-TX-LAKE-067	Execute only PR-067: DATA-PLANE-COLLECTORS-AND-TX-LAKE-067. Do not start the next PR. Return a new zip only.
068	DATA-PLANE-COLLECTORS-AND-TX-LAKE-068	Execute only PR-068: DATA-PLANE-COLLECTORS-AND-TX-LAKE-068. Do not start the next PR. Return a new zip only.
069	DATA-PLANE-COLLECTORS-AND-TX-LAKE-069	Execute only PR-069: DATA-PLANE-COLLECTORS-AND-TX-LAKE-069. Do not start the next PR. Return a new zip only.
070	DATA-PLANE-COLLECTORS-AND-TX-LAKE-070	Execute only PR-070: DATA-PLANE-COLLECTORS-AND-TX-LAKE-070. Do not start the next PR. Return a new zip only.
071	DATA-PLANE-COLLECTORS-AND-TX-LAKE-071	Execute only PR-071: DATA-PLANE-COLLECTORS-AND-TX-LAKE-071. Do not start the next PR. Return a new zip only.
072	DATA-PLANE-COLLECTORS-AND-TX-LAKE-072	Execute only PR-072: DATA-PLANE-COLLECTORS-AND-TX-LAKE-072. Do not start the next PR. Return a new zip only.
073	DATA-PLANE-COLLECTORS-AND-TX-LAKE-073	Execute only PR-073: DATA-PLANE-COLLECTORS-AND-TX-LAKE-073. Do not start the next PR. Return a new zip only.
074	DATA-PLANE-COLLECTORS-AND-TX-LAKE-074	Execute only PR-074: DATA-PLANE-COLLECTORS-AND-TX-LAKE-074. Do not start the next PR. Return a new zip only.
075	DATA-PLANE-COLLECTORS-AND-TX-LAKE-075	Execute only PR-075: DATA-PLANE-COLLECTORS-AND-TX-LAKE-075. Do not start the next PR. Return a new zip only.
076	DATA-PLANE-COLLECTORS-AND-TX-LAKE-076	Execute only PR-076: DATA-PLANE-COLLECTORS-AND-TX-LAKE-076. Do not start the next PR. Return a new zip only.
077	ML-CALIBRATION-AND-TUNING-077	Execute only PR-077: ML-CALIBRATION-AND-TUNING-077. Do not start the next PR. Return a new zip only.
078	ML-CALIBRATION-AND-TUNING-078	Execute only PR-078: ML-CALIBRATION-AND-TUNING-078. Do not start the next PR. Return a new zip only.
079	ML-CALIBRATION-AND-TUNING-079	Execute only PR-079: ML-CALIBRATION-AND-TUNING-079. Do not start the next PR. Return a new zip only.
080	ML-CALIBRATION-AND-TUNING-080	Execute only PR-080: ML-CALIBRATION-AND-TUNING-080. Do not start the next PR. Return a new zip only.
081	ML-CALIBRATION-AND-TUNING-081	Execute only PR-081: ML-CALIBRATION-AND-TUNING-081. Do not start the next PR. Return a new zip only.
082	ML-CALIBRATION-AND-TUNING-082	Execute only PR-082: ML-CALIBRATION-AND-TUNING-082. Do not start the next PR. Return a new zip only.
083	ML-CALIBRATION-AND-TUNING-083	Execute only PR-083: ML-CALIBRATION-AND-TUNING-083. Do not start the next PR. Return a new zip only.
084	ML-CALIBRATION-AND-TUNING-084	Execute only PR-084: ML-CALIBRATION-AND-TUNING-084. Do not start the next PR. Return a new zip only.
085	ML-CALIBRATION-AND-TUNING-085	Execute only PR-085: ML-CALIBRATION-AND-TUNING-085. Do not start the next PR. Return a new zip only.
086	ML-CALIBRATION-AND-TUNING-086	Execute only PR-086: ML-CALIBRATION-AND-TUNING-086. Do not start the next PR. Return a new zip only.
087	ML-CALIBRATION-AND-TUNING-087	Execute only PR-087: ML-CALIBRATION-AND-TUNING-087. Do not start the next PR. Return a new zip only.
088	ML-CALIBRATION-AND-TUNING-088	Execute only PR-088: ML-CALIBRATION-AND-TUNING-088. Do not start the next PR. Return a new zip only.
089	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-089	Execute only PR-089: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-089. Do not start the next PR. Return a new zip only.
090	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-090	Execute only PR-090: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-090. Do not start the next PR. Return a new zip only.
091	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-091	Execute only PR-091: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-091. Do not start the next PR. Return a new zip only.
092	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-092	Execute only PR-092: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-092. Do not start the next PR. Return a new zip only.
093	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-093	Execute only PR-093: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-093. Do not start the next PR. Return a new zip only.
094	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-094	Execute only PR-094: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-094. Do not start the next PR. Return a new zip only.
095	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-095	Execute only PR-095: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-095. Do not start the next PR. Return a new zip only.
096	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-096	Execute only PR-096: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-096. Do not start the next PR. Return a new zip only.
097	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-097	Execute only PR-097: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-097. Do not start the next PR. Return a new zip only.
098	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-098	Execute only PR-098: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-098. Do not start the next PR. Return a new zip only.
099	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-099	Execute only PR-099: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-099. Do not start the next PR. Return a new zip only.
100	OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-100	Execute only PR-100: OPS-COMPLIANCE-AND-RESEARCH-CONTROL-PLANE-100. Do not start the next PR. Return a new zip only.
